ki;kinek;mikor;hossz
petrakis@citromail.hu;szabo@freemail.hu;17:32;1989
pistanagy@gmail.com;nemen@freemail.hu;07:21;237
bela06@gmail.com;bond007@gmail.com;10:58;449
krisz17@gmail.com;petrakis@citromail.hu;09:44;589
valaki@gmail.com;botond3@gmail.com;18:34;1246
misedina@gmail.com;petrakis@citromail.hu;23:43;1028
potyi75@gmail.com;krisz17@gmail.com;12:03;665
bond007@gmail.com;nemen@freemail.hu;18:42;935
tevehaz@citromail.hu;regina09@citromail.hu;08:05;1191
krisz17@gmail.com;szabo@freemail.hu;06:51;1502
szabo@freemail.hu;bela06@gmail.com;09:42;707
pistanagy@gmail.com;potyi75@gmail.com;19:53;1431
nemen@freemail.hu;pistanagy@gmail.com;19:51;1888
valaki@gmail.com;nemen@freemail.hu;21:20;1791
valaki@gmail.com;pistanagy@gmail.com;16:19;1396
potyi75@gmail.com;sanyi17@citromail.hu;17:10;1824
mateka2@citromail.hu;botond3@gmail.com;14:57;518
potyi75@gmail.com;teke11@freemail.hu;17:28;983
teke11@freemail.hu;potyi75@gmail.com;16:26;251
misedina@gmail.com;bond007@gmail.com;06:20;494
krisz17@gmail.com;misedina@gmail.com;09:25;1382
mateka2@citromail.hu;tevehaz@citromail.hu;14:11;24
szabo@freemail.hu;nemen@freemail.hu;09:20;1686
potyi75@gmail.com;pistanagy@gmail.com;20:52;33
mateka2@citromail.hu;pistanagy@gmail.com;16:49;555
teke11@freemail.hu;petrakis@citromail.hu;13:47;1263
rita03@freemail.hu;regina09@citromail.hu;06:58;245
botond3@gmail.com;regina09@citromail.hu;17:53;1241
krisz17@gmail.com;mateka2@citromail.hu;13:34;1060
bond007@gmail.com;szabo@freemail.hu;11:22;1812
nemen@freemail.hu;regina09@citromail.hu;22:02;1359
krisz17@gmail.com;tevehaz@citromail.hu;18:39;757
sanyi17@citromail.hu;mateka2@citromail.hu;20:41;1017
bela06@gmail.com;nemen@freemail.hu;15:11;1217
petrakis@citromail.hu;krisz17@gmail.com;23:47;242
sanyi17@citromail.hu;regina09@citromail.hu;09:42;1157
pistanagy@gmail.com;bela06@gmail.com;19:28;971
tevehaz@citromail.hu;pistanagy@gmail.com;22:31;1122
regina09@citromail.hu;petrakis@citromail.hu;09:54;184
krisz17@gmail.com;valaki@gmail.com;10:55;728
regina09@citromail.hu;misedina@gmail.com;23:38;423
petrakis@citromail.hu;bela06@gmail.com;19:01;1212
mateka2@citromail.hu;krisz17@gmail.com;09:14;1519
sanyi17@citromail.hu;botond3@gmail.com;23:31;1217
petrakis@citromail.hu;potyi75@gmail.com;06:49;375
potyi75@gmail.com;szabo@freemail.hu;10:57;260
rita03@freemail.hu;bond007@gmail.com;18:32;225
regina09@citromail.hu;sanyi17@citromail.hu;21:04;444
misedina@gmail.com;regina09@citromail.hu;17:38;378
bela06@gmail.com;rita03@freemail.hu;10:39;362
petrakis@citromail.hu;krisz17@gmail.com;06:03;702
regina09@citromail.hu;nemen@freemail.hu;06:59;204
rita03@freemail.hu;petrakis@citromail.hu;16:46;1381
misedina@gmail.com;petrakis@citromail.hu;13:10;1086
pistanagy@gmail.com;rita03@freemail.hu;19:03;626
regina09@citromail.hu;nemen@freemail.hu;18:56;858
bela06@gmail.com;bond007@gmail.com;07:32;1543
bela06@gmail.com;petrakis@citromail.hu;19:10;1033
valaki@gmail.com;petrakis@citromail.hu;19:30;1902
botond3@gmail.com;krisz17@gmail.com;15:13;1230
szabo@freemail.hu;pistanagy@gmail.com;16:35;1679
sanyi17@citromail.hu;misedina@gmail.com;21:52;1002
bond007@gmail.com;petrakis@citromail.hu;21:20;64
valaki@gmail.com;pistanagy@gmail.com;13:08;1690
pistanagy@gmail.com;teke11@freemail.hu;19:51;1318
bond007@gmail.com;pistanagy@gmail.com;17:46;728
tevehaz@citromail.hu;valaki@gmail.com;22:44;1698
sanyi17@citromail.hu;regina09@citromail.hu;20:46;16
nemen@freemail.hu;potyi75@gmail.com;13:04;1148
teke11@freemail.hu;valaki@gmail.com;09:49;1796
nemen@freemail.hu;misedina@gmail.com;17:05;1017
rita03@freemail.hu;krisz17@gmail.com;13:49;246
teke11@freemail.hu;petrakis@citromail.hu;23:09;207
botond3@gmail.com;szabo@freemail.hu;18:16;1482
valaki@gmail.com;krisz17@gmail.com;15:10;608
rita03@freemail.hu;valaki@gmail.com;17:32;678
krisz17@gmail.com;misedina@gmail.com;23:51;148
bond007@gmail.com;bela06@gmail.com;16:20;1350
valaki@gmail.com;szabo@freemail.hu;08:42;1152
teke11@freemail.hu;sanyi17@citromail.hu;20:39;158
petrakis@citromail.hu;pistanagy@gmail.com;18:54;1262
petrakis@citromail.hu;valaki@gmail.com;12:06;51
sanyi17@citromail.hu;pistanagy@gmail.com;21:38;1550
krisz17@gmail.com;nemen@freemail.hu;14:18;420
sanyi17@citromail.hu;rita03@freemail.hu;14:59;1030
petrakis@citromail.hu;regina09@citromail.hu;17:38;595
mateka2@citromail.hu;tevehaz@citromail.hu;09:05;215
valaki@gmail.com;teke11@freemail.hu;20:27;189
bond007@gmail.com;mateka2@citromail.hu;22:18;430
szabo@freemail.hu;valaki@gmail.com;14:44;1187
rita03@freemail.hu;bela06@gmail.com;15:41;122
botond3@gmail.com;sanyi17@citromail.hu;17:39;1988
bond007@gmail.com;regina09@citromail.hu;10:18;1405
pistanagy@gmail.com;tevehaz@citromail.hu;11:44;1924
pistanagy@gmail.com;szabo@freemail.hu;10:08;1213
szabo@freemail.hu;nemen@freemail.hu;09:33;1712
bela06@gmail.com;petrakis@citromail.hu;19:51;1166
misedina@gmail.com;botond3@gmail.com;08:28;1578
teke11@freemail.hu;petrakis@citromail.hu;11:14;562
valaki@gmail.com;sanyi17@citromail.hu;21:15;1226
petrakis@citromail.hu;szabo@freemail.hu;20:54;835
krisz17@gmail.com;tevehaz@citromail.hu;07:35;1178
valaki@gmail.com;petrakis@citromail.hu;19:05;64
potyi75@gmail.com;regina09@citromail.hu;13:33;1947
potyi75@gmail.com;regina09@citromail.hu;23:06;1821
szabo@freemail.hu;petrakis@citromail.hu;12:50;189
bond007@gmail.com;rita03@freemail.hu;09:06;1100
sanyi17@citromail.hu;pistanagy@gmail.com;11:52;571
mateka2@citromail.hu;bela06@gmail.com;21:28;1120
valaki@gmail.com;teke11@freemail.hu;22:40;28
nemen@freemail.hu;krisz17@gmail.com;08:01;282
regina09@citromail.hu;krisz17@gmail.com;23:21;1053
tevehaz@citromail.hu;misedina@gmail.com;16:54;1733
potyi75@gmail.com;bond007@gmail.com;22:35;719
potyi75@gmail.com;valaki@gmail.com;09:58;194
rita03@freemail.hu;sanyi17@citromail.hu;09:47;1068
rita03@freemail.hu;petrakis@citromail.hu;17:16;1325
valaki@gmail.com;szabo@freemail.hu;15:37;1608
sanyi17@citromail.hu;nemen@freemail.hu;11:44;1376
regina09@citromail.hu;mateka2@citromail.hu;23:19;676
botond3@gmail.com;potyi75@gmail.com;19:59;722
teke11@freemail.hu;sanyi17@citromail.hu;23:04;561
botond3@gmail.com;nemen@freemail.hu;15:03;743
misedina@gmail.com;valaki@gmail.com;18:46;312
bond007@gmail.com;misedina@gmail.com;17:06;1463
regina09@citromail.hu;sanyi17@citromail.hu;18:09;625
misedina@gmail.com;krisz17@gmail.com;22:56;1760
pistanagy@gmail.com;petrakis@citromail.hu;11:27;1926
krisz17@gmail.com;bela06@gmail.com;09:32;258
potyi75@gmail.com;botond3@gmail.com;21:17;729
tevehaz@citromail.hu;rita03@freemail.hu;18:26;1061
misedina@gmail.com;tevehaz@citromail.hu;20:22;771
botond3@gmail.com;bela06@gmail.com;11:22;309
regina09@citromail.hu;bela06@gmail.com;21:05;1970
nemen@freemail.hu;szabo@freemail.hu;23:30;1430
regina09@citromail.hu;krisz17@gmail.com;09:52;249
regina09@citromail.hu;potyi75@gmail.com;21:24;296
nemen@freemail.hu;bela06@gmail.com;08:37;81
tevehaz@citromail.hu;valaki@gmail.com;10:27;167
teke11@freemail.hu;szabo@freemail.hu;15:07;1140
potyi75@gmail.com;rita03@freemail.hu;13:01;546
valaki@gmail.com;regina09@citromail.hu;18:58;203
szabo@freemail.hu;nemen@freemail.hu;09:41;27
valaki@gmail.com;regina09@citromail.hu;08:09;1973
botond3@gmail.com;teke11@freemail.hu;07:39;622
valaki@gmail.com;bela06@gmail.com;13:50;167
krisz17@gmail.com;valaki@gmail.com;14:57;1074
sanyi17@citromail.hu;valaki@gmail.com;09:12;1112
petrakis@citromail.hu;regina09@citromail.hu;07:02;32
bela06@gmail.com;szabo@freemail.hu;11:35;606
szabo@freemail.hu;tevehaz@citromail.hu;21:37;1865
sanyi17@citromail.hu;krisz17@gmail.com;17:10;218
regina09@citromail.hu;valaki@gmail.com;15:36;68
petrakis@citromail.hu;pistanagy@gmail.com;06:59;175
szabo@freemail.hu;potyi75@gmail.com;08:54;371
regina09@citromail.hu;potyi75@gmail.com;14:06;1495
bela06@gmail.com;botond3@gmail.com;19:55;1334
rita03@freemail.hu;petrakis@citromail.hu;10:07;1062
szabo@freemail.hu;petrakis@citromail.hu;19:28;1202
potyi75@gmail.com;petrakis@citromail.hu;21:40;236
teke11@freemail.hu;bond007@gmail.com;07:15;953
bela06@gmail.com;szabo@freemail.hu;13:16;803
teke11@freemail.hu;tevehaz@citromail.hu;08:33;1881
mateka2@citromail.hu;krisz17@gmail.com;20:47;1700
teke11@freemail.hu;botond3@gmail.com;08:57;1087
bond007@gmail.com;szabo@freemail.hu;11:50;132
bond007@gmail.com;rita03@freemail.hu;09:58;538
bela06@gmail.com;misedina@gmail.com;22:07;1938
misedina@gmail.com;bela06@gmail.com;13:17;784
nemen@freemail.hu;botond3@gmail.com;18:38;680
rita03@freemail.hu;pistanagy@gmail.com;14:41;512
tevehaz@citromail.hu;botond3@gmail.com;13:25;1145
sanyi17@citromail.hu;rita03@freemail.hu;08:17;1606
tevehaz@citromail.hu;regina09@citromail.hu;14:16;1661
bond007@gmail.com;mateka2@citromail.hu;10:31;796
botond3@gmail.com;teke11@freemail.hu;23:50;1530
botond3@gmail.com;bela06@gmail.com;17:29;517
valaki@gmail.com;petrakis@citromail.hu;16:59;54
bela06@gmail.com;potyi75@gmail.com;08:17;1464
bela06@gmail.com;mateka2@citromail.hu;12:20;613
mateka2@citromail.hu;krisz17@gmail.com;18:26;1759
regina09@citromail.hu;misedina@gmail.com;23:44;1387
krisz17@gmail.com;bela06@gmail.com;13:06;1503
szabo@freemail.hu;teke11@freemail.hu;11:54;55
mateka2@citromail.hu;teke11@freemail.hu;10:46;1042
valaki@gmail.com;mateka2@citromail.hu;19:14;1311
petrakis@citromail.hu;potyi75@gmail.com;13:39;1399
botond3@gmail.com;bond007@gmail.com;20:13;76
pistanagy@gmail.com;nemen@freemail.hu;17:20;1103
szabo@freemail.hu;pistanagy@gmail.com;21:42;1639
bela06@gmail.com;tevehaz@citromail.hu;19:40;1542
krisz17@gmail.com;mateka2@citromail.hu;12:12;1154
potyi75@gmail.com;teke11@freemail.hu;11:06;1777
tevehaz@citromail.hu;botond3@gmail.com;08:51;1345
mateka2@citromail.hu;szabo@freemail.hu;12:49;810
regina09@citromail.hu;misedina@gmail.com;18:57;1396
bela06@gmail.com;petrakis@citromail.hu;17:07;905
tevehaz@citromail.hu;bond007@gmail.com;23:27;1046
bela06@gmail.com;krisz17@gmail.com;21:46;1357
petrakis@citromail.hu;regina09@citromail.hu;19:15;89
nemen@freemail.hu;krisz17@gmail.com;22:05;1574
botond3@gmail.com;tevehaz@citromail.hu;12:34;930
valaki@gmail.com;misedina@gmail.com;16:10;1952
pistanagy@gmail.com;mateka2@citromail.hu;19:03;266
mateka2@citromail.hu;tevehaz@citromail.hu;17:56;1464
petrakis@citromail.hu;regina09@citromail.hu;09:22;108
misedina@gmail.com;tevehaz@citromail.hu;13:58;1813
mateka2@citromail.hu;teke11@freemail.hu;14:45;325
botond3@gmail.com;bond007@gmail.com;14:40;125
sanyi17@citromail.hu;bond007@gmail.com;12:40;1391
tevehaz@citromail.hu;potyi75@gmail.com;12:12;1194
botond3@gmail.com;sanyi17@citromail.hu;20:28;1873
bond007@gmail.com;petrakis@citromail.hu;21:13;226
teke11@freemail.hu;regina09@citromail.hu;22:02;168
mateka2@citromail.hu;rita03@freemail.hu;08:35;1808
botond3@gmail.com;misedina@gmail.com;06:19;415
teke11@freemail.hu;sanyi17@citromail.hu;08:10;160
bond007@gmail.com;sanyi17@citromail.hu;15:14;110
mateka2@citromail.hu;potyi75@gmail.com;12:08;1596
petrakis@citromail.hu;mateka2@citromail.hu;20:43;1966
tevehaz@citromail.hu;szabo@freemail.hu;21:38;1580
regina09@citromail.hu;valaki@gmail.com;22:29;1134
bela06@gmail.com;bond007@gmail.com;16:04;1987
teke11@freemail.hu;botond3@gmail.com;16:42;1176
teke11@freemail.hu;pistanagy@gmail.com;09:36;1258
botond3@gmail.com;valaki@gmail.com;08:18;1408
misedina@gmail.com;potyi75@gmail.com;20:18;1578
bela06@gmail.com;tevehaz@citromail.hu;07:26;1432
rita03@freemail.hu;potyi75@gmail.com;17:51;404
potyi75@gmail.com;bela06@gmail.com;20:08;1221
tevehaz@citromail.hu;valaki@gmail.com;21:20;1900
botond3@gmail.com;bond007@gmail.com;13:07;1493
bela06@gmail.com;rita03@freemail.hu;07:29;1289
szabo@freemail.hu;sanyi17@citromail.hu;20:42;862
tevehaz@citromail.hu;teke11@freemail.hu;20:34;1240
potyi75@gmail.com;botond3@gmail.com;17:15;388
krisz17@gmail.com;mateka2@citromail.hu;22:53;1384
krisz17@gmail.com;nemen@freemail.hu;10:34;923
rita03@freemail.hu;regina09@citromail.hu;23:30;1637
tevehaz@citromail.hu;pistanagy@gmail.com;11:08;236
regina09@citromail.hu;petrakis@citromail.hu;19:32;103
nemen@freemail.hu;mateka2@citromail.hu;06:43;1191
valaki@gmail.com;potyi75@gmail.com;21:27;17
misedina@gmail.com;bond007@gmail.com;23:57;838
bond007@gmail.com;teke11@freemail.hu;22:18;498
regina09@citromail.hu;botond3@gmail.com;17:20;1219
szabo@freemail.hu;botond3@gmail.com;13:47;23
rita03@freemail.hu;regina09@citromail.hu;06:24;1318
botond3@gmail.com;valaki@gmail.com;14:38;474
sanyi17@citromail.hu;botond3@gmail.com;09:20;175
mateka2@citromail.hu;petrakis@citromail.hu;22:51;227
mateka2@citromail.hu;valaki@gmail.com;07:18;100
potyi75@gmail.com;krisz17@gmail.com;22:38;1376
tevehaz@citromail.hu;krisz17@gmail.com;13:48;389
tevehaz@citromail.hu;mateka2@citromail.hu;07:48;275
regina09@citromail.hu;rita03@freemail.hu;22:46;100
bond007@gmail.com;mateka2@citromail.hu;10:38;49
sanyi17@citromail.hu;nemen@freemail.hu;14:26;1446
krisz17@gmail.com;misedina@gmail.com;20:02;1128
potyi75@gmail.com;bela06@gmail.com;15:13;1926
valaki@gmail.com;mateka2@citromail.hu;21:24;1029
nemen@freemail.hu;teke11@freemail.hu;15:08;1656
potyi75@gmail.com;nemen@freemail.hu;06:11;993
krisz17@gmail.com;szabo@freemail.hu;20:03;937
szabo@freemail.hu;tevehaz@citromail.hu;16:42;399
sanyi17@citromail.hu;bela06@gmail.com;18:40;181
botond3@gmail.com;sanyi17@citromail.hu;08:06;1851
nemen@freemail.hu;szabo@freemail.hu;22:26;840
misedina@gmail.com;teke11@freemail.hu;07:26;776
tevehaz@citromail.hu;rita03@freemail.hu;13:31;920
regina09@citromail.hu;bond007@gmail.com;12:43;1604
potyi75@gmail.com;bela06@gmail.com;21:47;250
mateka2@citromail.hu;pistanagy@gmail.com;11:10;545
bond007@gmail.com;sanyi17@citromail.hu;14:54;1072
bela06@gmail.com;botond3@gmail.com;23:46;25
petrakis@citromail.hu;valaki@gmail.com;14:55;1006
nemen@freemail.hu;krisz17@gmail.com;20:58;1603
bond007@gmail.com;potyi75@gmail.com;20:45;32
bela06@gmail.com;mateka2@citromail.hu;11:28;231
botond3@gmail.com;bela06@gmail.com;18:57;1172
bela06@gmail.com;nemen@freemail.hu;11:39;1798
teke11@freemail.hu;bela06@gmail.com;23:53;1558
rita03@freemail.hu;misedina@gmail.com;06:18;1622
szabo@freemail.hu;rita03@freemail.hu;20:17;923
rita03@freemail.hu;bond007@gmail.com;09:14;841
petrakis@citromail.hu;mateka2@citromail.hu;17:03;1500
botond3@gmail.com;pistanagy@gmail.com;13:44;1564
misedina@gmail.com;valaki@gmail.com;16:45;897
szabo@freemail.hu;potyi75@gmail.com;22:10;1052
tevehaz@citromail.hu;misedina@gmail.com;06:49;1924
krisz17@gmail.com;tevehaz@citromail.hu;15:22;1329
regina09@citromail.hu;regina09@citromail.hu;15:05;825
mateka2@citromail.hu;regina09@citromail.hu;19:32;120
rita03@freemail.hu;bela06@gmail.com;09:59;1479
regina09@citromail.hu;bond007@gmail.com;22:32;1767
botond3@gmail.com;mateka2@citromail.hu;23:39;102
bond007@gmail.com;bela06@gmail.com;22:02;299
petrakis@citromail.hu;nemen@freemail.hu;10:05;1045
krisz17@gmail.com;misedina@gmail.com;08:46;548
bond007@gmail.com;sanyi17@citromail.hu;21:14;1006
teke11@freemail.hu;petrakis@citromail.hu;10:05;1398
krisz17@gmail.com;szabo@freemail.hu;08:46;764
mateka2@citromail.hu;valaki@gmail.com;23:07;665
petrakis@citromail.hu;bela06@gmail.com;12:48;76
mateka2@citromail.hu;misedina@gmail.com;12:29;1574
tevehaz@citromail.hu;pistanagy@gmail.com;07:05;1150
bela06@gmail.com;petrakis@citromail.hu;19:48;1597
potyi75@gmail.com;pistanagy@gmail.com;13:53;496
sanyi17@citromail.hu;krisz17@gmail.com;13:40;1594
rita03@freemail.hu;bond007@gmail.com;17:05;218
krisz17@gmail.com;sanyi17@citromail.hu;06:32;361
nemen@freemail.hu;bela06@gmail.com;09:12;650
teke11@freemail.hu;misedina@gmail.com;13:05;189
krisz17@gmail.com;pistanagy@gmail.com;19:08;1823
regina09@citromail.hu;misedina@gmail.com;23:54;1644
potyi75@gmail.com;bond007@gmail.com;13:55;909
mateka2@citromail.hu;rita03@freemail.hu;07:07;684
petrakis@citromail.hu;pistanagy@gmail.com;11:35;1622
szabo@freemail.hu;petrakis@citromail.hu;12:06;1737
misedina@gmail.com;regina09@citromail.hu;11:40;164
valaki@gmail.com;misedina@gmail.com;21:36;273
misedina@gmail.com;mateka2@citromail.hu;08:50;1794
nemen@freemail.hu;krisz17@gmail.com;23:55;51
krisz17@gmail.com;botond3@gmail.com;17:13;631
pistanagy@gmail.com;szabo@freemail.hu;20:03;1301
bond007@gmail.com;teke11@freemail.hu;07:52;303
bela06@gmail.com;misedina@gmail.com;10:20;1478
pistanagy@gmail.com;bond007@gmail.com;14:37;552
mateka2@citromail.hu;krisz17@gmail.com;22:27;1860
krisz17@gmail.com;szabo@freemail.hu;16:08;876
bela06@gmail.com;nemen@freemail.hu;13:57;108
nemen@freemail.hu;bela06@gmail.com;10:27;1953
potyi75@gmail.com;bela06@gmail.com;19:29;46
nemen@freemail.hu;regina09@citromail.hu;18:02;608
mateka2@citromail.hu;potyi75@gmail.com;10:42;774
potyi75@gmail.com;bela06@gmail.com;14:57;1256
misedina@gmail.com;tevehaz@citromail.hu;19:26;1195
botond3@gmail.com;rita03@freemail.hu;12:31;1848
krisz17@gmail.com;valaki@gmail.com;13:15;420
sanyi17@citromail.hu;bela06@gmail.com;12:50;253
regina09@citromail.hu;petrakis@citromail.hu;10:49;1103
